0.00,0.00,12.00,0.00,3.00,0.00,17.00,1.00,6.00,0.00,0.00,1.00,0.00
77.00,126.00,195.00,64.00,163.00,0.00,3.00,0.00,229.00,3.00,8.00,135.00,0.00
14.00,119.00,80.00,210.00,76.00,2.00,9.00,0.00,75.00,4.00,2.00,113.00,0.00
1.00,51.00,240.00,1.00,55.00,0.00,120.00,17.00,81.00,0.00,7.00,34.00,0.00
4.00,45.00,86.00,16.00,26.00,0.00,8.00,2.00,19.00,0.00,0.00,18.00,0.00
31.00,478.00,578.00,12.00,310.00,2.00,16.00,35.00,147.00,0.00,75.00,340.00,0.00
2.00,6.00,51.00,3.00,2.00,0.00,11.00,14.00,19.00,4.00,0.00,10.00,0.00
73.00,347.00,394.00,2.00,129.00,5.00,84.00,24.00,99.00,21.00,32.00,83.00,0.00
47.00,266.00,92.00,3.00,32.00,1.00,5.00,3.00,57.00,3.00,5.00,108.00,0.00
13.00,237.00,195.00,4.00,94.00,1.00,101.00,11.00,37.00,8.00,88.00,42.00,0.00
10.00,69.00,357.00,9.00,104.00,2.00,154.00,0.00,79.00,9.00,7.00,30.00,0.00
6.00,39.00,152.00,8.00,46.00,0.00,85.00,10.00,31.00,2.00,0.00,32.00,0.00
10.00,14.00,49.00,0.00,14.00,0.00,35.00,0.00,18.00,1.00,10.00,11.00,0.00
24.00,365.00,339.00,71.00,88.00,1.00,43.00,0.00,88.00,4.00,11.00,82.00,0.00
48.00,264.00,336.00,270.00,179.00,15.00,30.00,0.00,88.00,29.00,16.00,113.00,0.00
1.00,20.00,43.00,51.00,9.00,1.00,1.00,0.00,22.00,0.00,0.00,12.00,0.00
1.00,15.00,72.00,17.00,84.00,11.00,21.00,19.00,13.00,2.00,0.00,48.00,0.00
2.00,31.00,129.00,2.00,32.00,1.00,58.00,26.00,45.00,1.00,1.00,20.00,0.00
4.00,10.00,89.00,3.00,23.00,1.00,89.00,0.00,52.00,0.00,9.00,19.00,0.00
0.00,1.00,6.00,1.00,3.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,4.00,126.00,5.00,10.00,1.00,65.00,22.00,30.00,0.00,2.00,30.00,0.00
20.00,210.00,217.00,7.00,84.00,2.00,54.00,9.00,141.00,2.00,2.00,92.00,0.00
2.00,23.00,164.00,16.00,45.00,1.00,101.00,15.00,46.00,1.00,2.00,40.00,0.00
0.00,1.00,9.00,0.00,12.00,0.00,6.00,6.00,5.00,0.00,1.00,0.00,0.00
31.00,295.00,176.00,2.00,76.00,1.00,74.00,5.00,65.00,18.00,83.00,31.00,0.00
38.00,306.00,290.00,9.00,232.00,2.00,9.00,0.00,202.00,35.00,10.00,219.00,0.00
0.00,1.00,47.00,0.00,6.00,0.00,22.00,6.00,11.00,0.00,1.00,41.00,0.00
8.00,225.00,194.00,581.00,109.00,13.00,13.00,0.00,107.00,7.00,5.00,107.00,0.00
0.00,3.00,24.00,0.00,13.00,0.00,2.00,4.00,4.00,0.00,0.00,26.00,0.00
17.00,74.00,237.00,109.00,90.00,4.00,37.00,1.00,68.00,2.00,2.00,47.00,0.00
2.00,132.00,183.00,433.00,122.00,14.00,13.00,0.00,146.00,7.00,2.00,92.00,0.00
37.00,153.00,230.00,52.00,34.00,3.00,12.00,3.00,55.00,5.00,15.00,100.00,0.00
39.00,399.00,68.00,1.00,45.00,0.00,154.00,4.00,70.00,3.00,41.00,65.00,0.00
2.00,14.00,92.00,3.00,6.00,0.00,74.00,16.00,40.00,1.00,0.00,40.00,0.00
28.00,265.00,348.00,216.00,97.00,3.00,31.00,0.00,99.00,5.00,25.00,149.00,0.00
1.00,3.00,9.00,0.00,15.00,0.00,11.00,2.00,8.00,0.00,1.00,6.00,0.00
1.00,70.00,60.00,0.00,131.00,2.00,1.00,5.00,4.00,2.00,3.00,18.00,0.00
7.00,74.00,267.00,8.00,49.00,2.00,179.00,69.00,122.00,6.00,0.00,27.00,0.00
19.00,120.00,134.00,426.00,62.00,1.00,5.00,1.00,55.00,4.00,6.00,54.00,0.00
331.00,247.00,264.00,115.00,106.00,254.00,22.00,3.00,69.00,6.00,42.00,57.00,0.00
19.00,85.00,126.00,104.00,36.00,0.00,17.00,1.00,42.00,7.00,11.00,48.00,0.00
0.00,16.00,57.00,5.00,9.00,0.00,58.00,0.00,26.00,0.00,0.00,43.00,0.00
0.00,24.00,180.00,1.00,20.00,0.00,235.00,33.00,66.00,0.00,13.00,191.00,0.00
0.00,0.00,8.00,0.00,1.00,0.00,4.00,3.00,2.00,0.00,0.00,2.00,0.00
2.00,1.00,50.00,2.00,11.00,0.00,43.00,6.00,22.00,1.00,4.00,24.00,0.00
45.00,25.00,30.00,11.00,40.00,17.00,12.00,7.00,13.00,2.00,0.00,13.00,0.00
0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00
0.00,16.00,17.00,0.00,0.00,0.00,15.00,1.00,17.00,8.00,6.00,24.00,1.00
0.00,3.00,8.00,0.00,0.00,0.00,4.00,4.00,6.00,0.00,0.00,1.00,1.00
5.00,29.00,20.00,0.00,2.00,0.00,20.00,0.00,34.00,1.00,9.00,6.00,1.00
3.00,29.00,11.00,0.00,0.00,0.00,14.00,3.00,14.00,2.00,7.00,6.00,1.00
0.00,0.00,5.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,1.00
