darren,scarlet,alyssa,hey,mean,slightly,smiling,softly,whilst,jeremy,date,seat,tomorrow,pulling,football,team,eating,best,brown,park,0
katharine,ralph,denham,hilbery,cassandra,william,rodney,rather,exclaimed,replied,read,together,half,spoke,silent,added,whether,different,talk,person,0
elinor,marianne,dashwood,jennings,willoughby,miss,lucy,colonel,lady,brandon,ferrars,heart,replied,happy,middleton,less,therefore,barton,cried,present,0
libia,damon,pulled,johnson,lips,murmured,heart,stared,cheeks,taking,slightly,chest,laugh,vivi,watched,soft,shirt,laughed,close,eyebrows,0
judy,julia,sallie,ca,letter,college,jerusha,write,nice,abbott,read,summer,awfully,jervie,willow,lippett,lock,four,writing,grier,0
quixote,sancho,thou,thee,thy,worship,senor,knight,lady,replied,heart,curate,panza,dulcinea,truth,art,saying,duke,squire,true,0
peter,parker,terra,aaron,sighed,die,mean,thank,reason,hey,stop,seriously,warm,touch,anymore,kinda,wait,laughed,rushed,ass,0
gringoire,de,king,paris,quasimodo,tis,archdeacon,phoebus,gypsy,la,poor,replied,claude,jehan,monsieur,fine,beheld,window,feet,passed,0
picton,brack,hector,woodridge,dick,tearaway,robert,elroy,haverton,rascal,carl,rolfe,best,torquay,lenise,rita,money,win,leger,race,0
thou,thy,knight,thee,de,cedric,rebecca,saxon,answered,prince,jew,bracy,templar,replied,ivanhoe,gurth,isaac,castle,art,wamba,0
dex,eve,sadie,peter,heart,perfect,lips,guy,laughed,form,expression,felicia,single,dress,best,realized,happy,across,true,softly,0
seth,courtney,annie,court,needed,completely,wondered,shook,lips,abby,amazing,surprised,pleasure,move,bathroom,ann,kiss,gently,fingers,added,0
larissa,gabe,annie,kurt,lexi,julie,deputy,needed,trauma,pulled,bay,gaze,care,gun,heart,er,chest,keep,merry,hinkle,0
eustacia,yeobright,clym,wildeve,thomasin,return,native,venn,heath,reddleman,ing,till,christian,fairway,wish,women,egdon,hour,walk,boy,0
terry,dynely,eric,france,lady,miss,dennison,crystal,madame,gordon,forrester,caryll,lord,heart,felicia,poor,locksley,sort,hour,half,0
aunt,celia,miss,cathedral,copley,schuyler,english,london,kitty,cloth,book,illustrated,read,bath,wish,illustrations,winchester,service,set,together,0
nikki,nick,myka,clint,best,hey,talk,mean,replied,nana,nin,ask,anymore,stay,yelled,walk,turn,responded,wait,smirked,0
ashton,ass,aj,jas,pulled,saphire,shit,im,money,needed,heaven,club,nell,silver,minutes,brimson,stop,fucking,nigga,darius,0
drake,jenna,maria,garrison,laurence,lamina,watched,sighed,pulled,tears,quietly,stared,running,changed,softly,fell,cave,jumped,inner,smiling,0
cassie,cathy,loved,york,job,months,margie,died,remembered,worked,money,six,grandma,shop,buyer,fashion,husband,coming,couple,mackey,0
carter,fay,sammy,guy,ty,tyler,bit,date,lot,bryan,stop,letter,library,parking,stupid,hey,talking,exactly,idea,best,0
lester,gerhardt,vesta,kane,robert,replied,ca,bass,talk,ought,business,matter,children,senator,coming,married,live,wo,chicago,dollars,0
declan,marissa,cole,mum,jaz,romeo,pulled,minutes,ali,smiling,pretty,hey,laughed,talking,talk,bit,kiss,nice,jodie,bedroom,0
penny,shawn,store,lips,kiss,monica,wo,closed,eight,counter,moore,business,minutes,together,reason,heat,leaned,change,close,pressed,0
eustace,carhayes,eanswyth,hoste,kafir,tom,kafirs,cried,josane,latter,rather,heart,savage,word,hlangani,poor,milne,among,wild,dog,0
levin,anna,vronsky,alexey,kitty,alexandrovitch,stepan,tolstoy,arkadyevitch,karenin,leo,husband,ing,princess,position,ca,answered,heart,understand,dolly,0
damian,shane,peyton,ronnie,hey,aunt,jeffrey,jarod,stacy,yelled,guy,pulled,laughed,smiling,ca,finished,sexy,stared,shower,gon,0
emma,miss,harriet,weston,elton,knightley,woodhouse,fairfax,churchill,frank,hartfield,bates,rather,wish,poor,happy,highbury,sort,pleasure,half,0
neeraj,hostel,shruti,college,roomy,aakriti,senior,talk,talking,nishi,class,verma,entered,liked,supriya,exams,saying,geetika,library,seniors,0
anne,phil,davy,diana,aunt,miss,marilla,lynde,priscilla,janet,redmond,patty,jamesina,ruby,suppose,poor,roy,marry,rather,nice,0
fanny,crawford,miss,edmund,thomas,bertram,rushworth,norris,mansfield,lady,grant,feelings,william,aunt,julia,wish,uncle,maria,price,happy,0
archer,olenska,madame,york,newland,beaufort,welland,van,der,mingott,ellen,luyden,ah,husband,countess,jackson,poor,talk,met,lady,0
annyn,garr,wulfrith,lady,rowan,lord,jonas,lavonne,squire,gaze,merrick,isobel,braose,wulfen,abel,stepped,uncle,chest,near,aye,0
reece,alex,pack,wolf,sage,bit,alpha,slightly,ellie,best,chest,neck,training,needed,pulled,hey,keep,zack,answered,leaving,0
margaret,thornton,hale,yo,dixon,miss,poor,bell,speak,frederick,milton,th,heart,lennox,edith,rather,higgins,mamma,papa,wish,0
