1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
said,one,levin,anna,would,could,vronsky,alexey,know,kitty
one,would,upon,eustace,man,said,could,two,time,men
could,emma,would,miss,must,harriet,much,said,one,weston
larissa,gabe,annie,said,kurt,could,right,get,back,one
said,would,eustacia,one,could,yeobright,man,clym,like,wildeve
donald,rose,one,little,ter,like,smiles,man,know,could
antony,ventidius,cleopatra,would,thou,love,dolabella,alexas,yet,tis
